reference_id,local_filename,original_filename,width_px,height_px,size_bytes,sha256,source_type,ingest_date
BY-REF-FILM-20260719-001,BY-REF-FILM-20260719-001_航天员着舱内服座椅与圆形舱门.png,微信图片_20260719205807_422_160.png,2560,1440,3706558,DC0EAEDE038044B62FBE1BF35897FF261449E7803D16F0DD184EE5A96377D309,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-002,BY-REF-FILM-20260719-002_束缚座椅内前伸操作.png,微信图片_20260719205809_423_160.png,2543,1377,3038023,42130A3B28C6B06E77CD9CE7976FD6EAF9010416C41C497893C92E268BD1A3E5,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-003,BY-REF-FILM-20260719-003_舱内服座椅头枕与通气管.png,微信图片_20260719205812_424_160.png,2522,1290,3314245,BEA4E07634D2673CE1357416C5BC2B987155A5C2BE493E5C687D32603FAE348C,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-004,BY-REF-FILM-20260719-004_座椅内手册操作与侧壁设备.png,微信图片_20260719205815_425_160.png,2541,1288,3659999,F12B37B661CC6C4A1FB3FAC53FA45E83653FA79DAAF440E49563B6DC284605D8,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-005,BY-REF-FILM-20260719-005_圆形舱口与失重进入动作.png,微信图片_20260719205914_445_160.png,2560,1440,3217308,7A689FDB94CF427ABCEC5695F16ABE788A99662A4202383C3E66C261AEB981D3,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-006,BY-REF-FILM-20260719-006_彩色应急按钮面板特写.png,微信图片_20260719205912_444_160.png,2560,1440,3049767,ABA93EC0DB5D60D293DC918C7BAEB042446F6A3DDFF50D6F7FEFCF8C6F431BD9,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-007,BY-REF-FILM-20260719-007_舷窗座椅与密集控制面板全景.png,微信图片_20260719205820_428_160.png,2560,1440,4187243,08E2F32E50330242407380AFA98EABBD46CD8F216EA4E6A56EC58C90AF3C9DCC,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-008,BY-REF-FILM-20260719-008_座椅约束与手动控制器操作.png,微信图片_20260719205823_429_160.png,2560,1440,3824171,A902E85A94415C6677A0F57B465FE49935442416D4858CD145CCB8ACC8D660F4,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-009,BY-REF-FILM-20260719-009_低位视角手动操纵与座椅空间.png,微信图片_20260719205835_435_160.png,2560,1440,2933387,92F7A304533D117AC6F7E9E15413BC5146A2C745C8B5AF03F04809DDF3487CFE,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-010,BY-REF-FILM-20260719-010_舷窗侧壁面板与物品固定.png,微信图片_20260719205858_441_160.png,2560,1440,3714963,7E190A98499802E3EEDBCE88282C716806E1BF634A1DB37C96AC4796183FBB76,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-011,BY-REF-FILM-20260719-011_发光仪表台与戴手套操作.png,微信图片_20260719205850_440_160.png,2560,1440,3638919,E155A9C898F460A317784653C4CF5F90D7287B3C6E7EF36A326E04EA97E708DC,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-012,BY-REF-FILM-20260719-012_双人舱内密度与应急饮水.png,微信图片_20260719205844_438_160.png,2560,1440,4403011,DC92A473E58616F79C5338D4917CAC0F3B0D5BFB7FED986771357EB7044F9EED,影视作品截图-非工程资料,2026-07-19
BY-REF-FILM-20260719-013,BY-REF-FILM-20260719-013_舷窗座椅控制区相邻帧.png,微信图片_20260719205841_437_160.png,2560,1440,4392218,A36C2170233F1C17A99ED07C3251081F1F3D31837B099E96A0607540CE76E954,影视作品截图-非工程资料,2026-07-19
