reference_id,local_filename,original_filename,width_px,height_px,size_bytes,sha256,category,source_status,ingest_date
BY-REF-PUB-SUIT-20260719-001,BY-REF-PUB-SUIT-20260719-001_中国登月服正面上半身.png,微信图片_20260719210724_448_160.png,966,1650,1497025,3287523567076ACE36378E57DF8212CA8EA69D1DE5B288A5C924D7E57B4E4DB7,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-002,BY-REF-PUB-SUIT-20260719-002_中国登月服正面全身公开展示.png,微信图片_20260719210710_447_160.png,954,1620,984230,05F08868BACCCF88F9DA5BB99B33575F01DEF7A4EBDABC7F9C9A6E7F1D36E776,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-003,BY-REF-PUB-SUIT-20260719-003_国旗标识与综合防护面料.png,微信图片_20260719210736_449_160.png,978,1685,1375882,903D6D4B44A168EFF07B67C7F879B7E439A64609EC4D61657740B0DB7CB07B89,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-004,BY-REF-PUB-SUIT-20260719-004_CMS与中国航天员中心标识.png,微信图片_20260719210752_450_160.png,975,1263,1170219,699CFCD856A9264457C43AE1ECF2AD39DA0B6DA42118094E298849D85D1FAF2B,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-005,BY-REF-PUB-SUIT-20260719-005_登月服手套指端与掌面.png,微信图片_20260719210806_451_160.png,972,1596,1101965,AEDCCAED862B46167208920C3CBA5271E04C442A541FF2731321E29BEB663C45,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-006,BY-REF-PUB-SUIT-20260719-006_胸前多功能集成控制台面板.png,微信图片_20260719210828_452_160.png,972,1725,1657319,743EF2F37478674DA20A5502D880073CB74E293A05712C83CC5B48434CBD1FFA,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-007,BY-REF-PUB-SUIT-20260719-007_胸前多功能集成控制台机构.png,微信图片_20260719210845_453_160.png,975,1725,1836588,03360A583AD4B395770416FD98527C980417F2A3783202F056516613C6D29EE4,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-008,BY-REF-PUB-SUIT-20260719-008_服装外置长短焦距摄像机.png,微信图片_20260719210857_454_160.png,969,1713,1298930,C265FB97C9FD19303A12159A0C695EFA8684C2E678179A40EBB5ABC1185150E5,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-009,BY-REF-PUB-SUIT-20260719-009_登月服正面屈膝姿态.png,微信图片_20260719211114_457_160.png,1166,1257,598848,BB04136420EB7120B2B90043B0B9BEA73F05A244A5266BDABA4CA499355DF647,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-010,BY-REF-PUB-SUIT-20260719-010_登月服弯腰与深蹲关节展示.png,微信图片_20260719212155_469_160.png,951,1560,805432,6B62F1B94238FCB7BED50C77AD2065D7F51F16AD475F1DFEC8D5E1BF7D81274A,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-011,BY-REF-PUB-SUIT-20260719-011_登月服攀爬与单膝姿态展示.png,微信图片_20260719212208_470_160.png,968,1584,834609,EEAB363A29EE39CD1FC00B0679FA5FA539EC4B75C87CCF68FD5C8DB90F60DBF4,中国登月服公开展示,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-012,BY-REF-PUB-SUIT-20260719-012_飞天舱外服舱内穿戴蓝色标识.png,微信图片_20260719211724_463_160.png,2262,1734,3302391,D07570CBCA0431D94CAEBEF11B1496C4BBA86A90B60F94C3A87B918C5CABEA9A,飞天舱外服对照,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-013,BY-REF-PUB-SUIT-20260719-013_飞天舱外服红蓝标识双人舱内.png,微信图片_20260719211841_465_160.png,2256,1704,2697742,4E492BA5BAAE9186167373DF0A37F83985EEFCE119C6619725074A3675A1E220,飞天舱外服对照,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-SUIT-20260719-014,BY-REF-PUB-SUIT-20260719-014_飞天舱外服舱内穿戴与背部构型.png,微信图片_20260719211855_466_160.png,2601,1706,4185173,50DD0F1319A367CEA8A1FB44AE657D0EA53740C894F9D6C32C5E07F4D66A117C,飞天舱外服对照,公开截图-原始发布页链接待补,2026-07-19
